NumerLosowania,Data,Liczba1,Liczba2,Liczba3,Liczba4,Liczba5,Liczba6
0001,27.01.1957,08,12,31,39,43,45,
0002,03.02.1957,05,10,11,22,25,27,
0003,10.02.1957,18,19,20,26,45,49,
0004,17.02.1957,02,11,14,37,40,45,
0005,24.02.1957,08,10,15,35,39,49,
0006,03.03.1957,24,26,31,35,43,47,
0007,10.03.1957,13,20,23,29,38,44,
0008,17.03.1957,08,13,15,22,38,47,
0009,24.03.1957,03,10,27,29,34,42,
0010,31.03.1957,04,05,06,13,23,25,
0011,07.04.1957,01,07,13,15,21,39,
0012,14.04.1957,02,04,31,38,39,46,
0013,28.04.1957,15,18,22,26,33,38,
0014,05.05.1957,02,04,11,18,25,48,
0015,12.05.1957,02,08,28,31,32,33,
0016,19.05.1957,10,13,19,21,32,34,
0017,26.05.1957,16,24,25,29,32,36,
0018,02.06.1957,10,11,12,31,32,33,
0019,09.06.1957,05,16,23,30,32,46,
0020,16.06.1957,03,05,11,14,33,48,
0021,23.06.1957,04,09,16,19,28,39,
0022,30.06.1957,13,19,21,24,30,36,
0023,07.07.1957,08,14,24,26,30,33,
0024,14.07.1957,01,11,14,25,44,49,
0025,21.07.1957,03,06,13,22,27,33,
0026,28.07.1957,01,13,19,21,27,35,
0027,04.08.1957,02,05,15,20,30,48,
0028,11.08.1957,04,19,21,32,34,37,
0029,18.08.1957,01,06,17,27,40,44,
0030,25.08.1957,08,20,39,41,45,49,
0031,01.09.1957,05,16,17,38,40,48,
0032,08.09.1957,06,16,21,25,43,48,
0033,15.09.1957,05,10,16,18,40,42,
0034,22.09.1957,01,15,16,19,47,48,
0035,29.09.1957,04,12,30,35,46,48,
0036,06.10.1957,02,08,09,12,16,30,
0037,13.10.1957,18,22,27,31,35,36,
0038,20.10.1957,22,24,37,40,41,45,
0039,27.10.1957,01,09,14,27,32,34,
0040,03.11.1957,13,21,28,36,39,40,
0041,10.11.1957,08,19,28,30,31,47,
